Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Reported Date (mm/dd/yyyy),Reporting Company ,Reporting Company ID ,Primary Interval Commodity ,Hole ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Interval Value (m-$/tonne) (Reported-meter/t),Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,Rank,Relevant asterisk/ footnote,New Rank,Notes
Dalgaranga,916516,29405,Australia,Gold,6/14/2017,Gascoyne Resources Limited,4350345,Gold,DGAC1965,Construction Planned,Yes,Surface,Extension,"1,523.17",GCY-ASX,0.347,0.323,>100,130.81,121.92,-6.80%,495,,,
Madison,895630,25381,USA,Gold,5/3/2017,Broadway Gold Mining Ltd.,4526468,Gold,UG17-05,Target Outline,Yes,Underground,Exploration,"31,966.43",BRD-TVX,0.51,0.482,>10 - 100,17.39,17.82,-5.40%,466,,,
Curipamba,901051,35347,Ecuador,Copper,5/15/2017,Salazar Resources Limited,4353980,Copper,CURI-224,Prefeas/Scoping,Yes,Surface,Extension,"10,277.19",SRL-TVX,0.106,0.1,>10 - 100,12.06,11.4,-5.50%,467,,,
Fisher East,909761,75613,Australia,Nickel,5/31/2017,Rox Resources Limited,4353900,Nickel,MFEC133,Prefeas/Scoping,No,Surface,Discovery,462.33,RXL-ASX,0.01,0.01,>10 - 100,12.91,12.19,-5.50%,470,,,
Wawa,875690,25803,Canada,Gold,4/5/2017,Red Pine Exploration Inc.,4353694,Gold,SD-17-50,Reserves Development,No,Surface,Extension,829.03,RPX-TVX,0.086,0.081,>10 - 100,22.08,20.85,-5.60%,471,,,
Borubai,919200,78763,Kyrgyzstan,Gold,6/19/2017,Kenadyr Mining (Holdings) Corp.,4773163,Gold,EZ-1-17,Target Outline,Yes,Surface,Exploration,"17,241.50",KEN-TVX,0.279,0.264,>10 - 100,15.66,14.78,-5.60%,472,,,
Pioneer Dome,921302,33967,Australia,Lithium,6/20/2017,Pioneer Resources Limited,4353360,Lithium,PDRC118,Reserves Development,No,Surface,Exploration,520.598,PIO-ASX,0.014,0.013,>10 - 100,14.2,13.4,-5.60%,473,,,
Rio Grande,897091,40801,Brazil,Phosphate,5/8/2017,Aguia Resources Limited,4347846,Phosphate,TED-17-114,Feasibility Started,No,Surface,Infill,255.17,AGR-ASX,0.363,0.342,>10 - 100,32.97,31.11,-5.60%,474,,,
Thackaringa,906166,30600,Australia,Cobalt,5/25/2017,Cobalt Blue Holdings Limited,4851305,Cobalt,17THD08,Prefeas/Scoping,Yes,Surface,Extension,"3,555.80",COB-ASX,0.146,0.137,>10 - 100,10.53,9.92,-5.70%,475,,,
Croteau Est,898817,40241,Canada,Gold,5/9/2017,Northern Superior Resources Inc.,4352918,Gold,CRO17-83,Reserves Development,No,Surface,Exploration,572.544,SUP-TVX,0.047,0.045,>10 - 100,15.11,14.22,-5.90%,476,,,
Croinor,874702,25899,Canada,Gold,4/4/2017,Monarques Gold Corporation,4352550,Gold,CR-17-532,Prefeas/Scoping,Yes,Surface,Extension,"4,417.20",MQR-TVX,0.284,0.267,>10 - 100,41.01,38.56,-6.00%,478,,,
Mt Alexander,896401,36132,Australia,Nickel,5/5/2017,St George Mining Limited,4354523,Nickel,MAD53,Target Outline,Yes,Surface,Extension,"4,647.64",SGQ-ASX,0.107,0.101,>10 - 100,26.85,25.22,-6.10%,480,,,
Salvadora,881910,66128,Chile,Gold,4/18/2017,Kairos Capital Corporation,4512514,Copper,SAL-02,Grassroots,Yes,Surface,Exploration,"3,415.54",KRS-TVX,0.505,0.474,>10 - 100,39.82,37.4,-6.10%,481,,,
Junior Lake,936627,31810,Canada,Nickel,6/28/2017,Landore Resources Limited,4351749,Gold,0417-574,Prefeas/Scoping,Yes,Surface,Extension,"2,901.80",LND-AIMLSE,0.037,0.035,>10 - 100,28.86,27.11,-6.10%,482,,,
KSK,907739,38884,Indonesia,Copper,5/24/2017,Asiamet Resources Limited,4228843,Copper,BKM32250-07,Feasibility Started,No,Surface,Infill,"7,148.70",ARS-AIMLSE,0.06,0.057,>10 - 100,43.18,40.52,-6.20%,483,,,
Nullagine,899970,29713,Australia,Gold,5/11/2017,Millennium Minerals Limited,4352289,Gold,BARD0104A,Expansion,Yes,Underground,Extension,"4,000.86",MOY-ASX,0.144,0.134,>100,112.6,104.66,-7.00%,503,,,
Maverick,897121,25938,Canada,Gold,5/4/2017,Minnova Corp.,4348306,Gold,M-17-17,Feasibility Started,No,Surface,Infill,"3,465.22",MCI-TVX,0.547,0.513,>10 - 100,15.51,14.55,-6.20%,485,,,
Maverick,896223,25938,Canada,Gold,5/3/2017,Minnova Corp.,4348306,Gold,M-17-11,Prefeas/Scoping,No,Surface,Infill,"3,038.58",MCI-TVX,0.546,0.512,>10 - 100,15.48,14.51,-6.30%,486,,,
Carlow Castle,887760,32190,Australia,Gold,4/24/2017,Artemis Resources Limited,4348189,Gold,ARC0033a,Reserves Development,Yes,Surface,Extension,"12,846.95",ARV-ASX,0.055,0.051,>10 - 100,15.4,14.42,-7.10%,504,,,
Barsele,898403,28075,Sweden,Gold,5/9/2017,Barsele Minerals Corp.,4428746,Gold,SKI17007,Reserves Development,No,Surface,Infill,"2,151.48",BME-TVX,0.62,0.58,>10 - 100,67.15,62.85,-6.40%,489,,,
Paterson North,905623,77255,Australia,Gold,5/24/2017,Sipa Resources Limited,4354307,Tungsten,PNA070,Target Outline,Yes,Surface,Extension,"8,997.25",SRI-ASX,0.01,0.009,<10,9.06,8.41,-7.10%,507,,,
Clearwater,889022,29474,Canada,Gold,4/26/2017,Eastmain Resources Inc.,4349877,Gold,ER17-697,Prefeas/Scoping,No,Surface,Infill,"3,697.93",ER-TSX,0.334,0.312,>10 - 100,58.67,54.79,-6.60%,492,,,
Rompas,895473,38046,Finland,Gold,5/2/2017,Mawson Resources Limited,4352121,Gold,PAL0075,Target Outline,Yes,Surface,Extension,"3,769.85",MAW-TSX,0.293,0.273,>10 - 100,30.84,28.77,-6.70%,493,,,
Boundiali,901685,68286,Cote d'Ivoire,Gold,5/17/2017,Predictive Discovery Limited,4353433,Gold,NDC001,Target Outline,No,Surface,Extension,"1,254.71",PDI-ASX,0.067,0.062,>10 - 100,10.91,10.18,-6.70%,494,,,
Eleonore South,894906,36725,Canada,Gold,5/2/2017,Eastmain Resources Inc.,4349877,Gold,ES17-64,Target Outline,Yes,Surface,Exploration,"9,291.38",ER-TSX,0.337,0.314,>10 - 100,59.08,55.06,-6.80%,496,,,
La Plata,888770,25748,Ecuador,Gold,4/25/2017,Toachi Mining Inc.,4350179,Copper,CMLP-17-56,Prefeas/Scoping,Yes,Surface,Extension,"13,688.56",TIM-TVX,0.319,0.297,>10 - 100,16.46,15.32,-7.00%,498,,,
Yellowknife City,916655,28788,Canada,Gold,6/14/2017,TerraX Minerals Inc.,4366758,Gold,TSO17-026,Reserves Development,Yes,Surface,Extension,"3,082.93",TXR-TVX,0.416,0.387,>10 - 100,42.56,39.6,-7.00%,499,,,
La Trinidad,874016,34181,Mexico,Gold,4/3/2017,Marlin Gold Mining Ltd.,4353107,Gold,17TRD41,Operating,Yes,In Pit,Exploration,"1,971.66",MLN-TVX,0.525,0.488,>10 - 100,90.35,84.04,-7.00%,500,,,
Yarraloola,910857,40516,Australia,Iron Ore,6/1/2017,Coziron Resources Limited,4349564,Iron Ore,YAR227,Reserves Development,Yes,Surface,Extension,"2,263.10",CZR-ASX,0.009,0.008,>10 - 100,15.66,14.56,-7.00%,502,,,
Aurora Tank,904424,60023,Australia,Gold,5/23/2017,Marmota Limited,4352084,Gold,16AT126,Target Outline,No,Surface,Extension,863.132,MEU-ASX,0.01,0.009,<10,5.03,4.67,-7.20%,508,,,
Thackaringa,896034,30600,Australia,Cobalt,5/4/2017,Cobalt Blue Holdings Limited,4851305,Cobalt,17THD07,Prefeas/Scoping,Yes,Surface,Extension,"3,838.38",COB-ASX,0.157,0.146,>10 - 100,11.33,10.53,-7.10%,505,,,
Clearwater,901498,29474,Canada,Gold,5/16/2017,Eastmain Resources Inc.,4349877,Gold,ER17-723,Prefeas/Scoping,No,Surface,Infill,"6,622.00",ER-TSX,0.311,0.289,>10 - 100,54.59,50.71,-7.10%,506,,,
Redcliffe,904207,34665,Australia,Gold,5/22/2017,NTM Gold Limited,4352907,Gold,GTAC308,Feasibility Started,No,Surface,Extension,918.12,NTM-ASX,0.045,0.041,>10 - 100,11.4,10.57,-7.30%,512,,,
Kangiara,923707,79025,Australia,Copper,6/20/2017,Heron Resources Limited,4351024,Gold,CRRB007,Target Outline,No,Surface,Exploration,194.488,HRR-ASX,0.062,0.058,>10 - 100,25.87,26.6,-7.40%,514,,,
Pardo,901405,53669,Canada,Gold,5/16/2017,Inventus Mining Corp.,4350448,Gold,PD-17-31,Target Outline,No,Surface,Extension,493.762,IVS-TVX,0.128,0.119,>10 - 100,12.85,11.89,-7.40%,516,,,
La India,938802,35834,Nicaragua,Gold,6/29/2017,Condor Gold Plc,4349418,Gold,LIDC358,Prefeas/Scoping,Yes,Surface,Extension,"2,357.69",CNR-AIMLSE,0.719,0.665,>10 - 100,44.14,40.84,-7.50%,517,,,
Mt York,909468,26830,Australia,Gold,5/29/2017,Kairos Minerals Limited,4352482,Gold,KMYD002,Reserves Development,Yes,Surface,Extension,"1,780.44",KAI-ASX,0.016,0.014,<10,7.02,6.88,-7.40%,513,,,
La Plata,879528,25748,Ecuador,Gold,4/12/2017,Toachi Mining Inc.,4350179,Copper,CMLP-17-42,Prefeas/Scoping,Yes,Surface,Extension,"5,562.58",TIM-TVX,0.292,0.269,>10 - 100,15.09,13.92,-7.80%,523,,,
Cathedral Well,874790,25135,USA,Gold,4/4/2017,Colorado Resources Ltd.,4349335,Gold,GSC17-1,Reserves Development,Yes,Surface,Extension,"5,623.41",CXO-TVX,0.209,0.193,>10 - 100,20.14,18.56,-7.80%,527,,,
Owendale,908798,29478,Australia,Scandium,5/29/2017,Platina Resources Limited,4353375,Scandium,FKD17_459,Feasibility Started,Yes,Surface,Exploration,"79,913.28",PGM-ASX,0.082,0.075,>10 - 100,21.63,19.93,-7.80%,528,,,
Rompas,876360,38046,Finland,Gold,4/6/2017,Mawson Resources Limited,4352121,Gold,PAL0048,Target Outline,No,Surface,Extension,"1,159.31",MAW-TSX,0.321,0.295,>10 - 100,33.75,31.06,-8.00%,529,,,
Christie Lake,875751,76929,Canada,U3O8,4/5/2017,UEX Corporation,4355053,U3O8,CB-113,Target Outline,Yes,Surface,Extension,"46,917.40",UEX-TSX,0.22,0.202,>10 - 100,70.13,64.53,-8.00%,530,,,
Wawa,921453,25803,Canada,Gold,6/21/2017,Red Pine Exploration Inc.,4353694,Gold,SD-17-78,Reserves Development,Yes,Surface,Extension,"1,745.38",RPX-TVX,0.072,0.066,>10 - 100,18.89,17.37,-8.00%,531,,,
Christie Lake,905530,76929,Canada,U3O8,5/23/2017,UEX Corporation,4355053,U3O8,CB-116A-2,Target Outline,Yes,Surface,Extension,"14,828.87",UEX-TSX,0.166,0.153,>10 - 100,53.05,48.69,-8.20%,533,,,
Biranup,879070,70384,Australia,Gold,4/13/2017,Ventnor Resources Limited,4355192,Gold,FDD001,Target Outline,No,Surface,Extension,96.991,VRX-ASX,0.01,0.01,<10,2.34,2.17,-7.50%,518,,,
Wilcherry Hill,876999,35406,Australia,Gold,4/10/2017,Alliance Resources Limited,4347916,Gold,17WDRC003,Feasibility,Yes,Surface,Extension,"13,144.15",AGS-ASX,0.073,0.067,<10,7.6,7.02,-7.50%,519,,,
Tuvatu,898862,30062,Fiji,Gold,5/9/2017,Lion One Metals Limited,4351844,Gold,TUDDH 419,Prefeas/Scoping,Yes,Surface,Extension,"5,714.12",LIO-TVX,0.511,0.469,>10 - 100,51.91,47.64,-8.20%,536,,,
Yarraloola,888186,40516,Australia,Iron Ore,4/26/2017,Coziron Resources Limited,4349564,Iron Ore,YAR177,Reserves Development,No,Surface,Extension,596.24,CZR-ASX,0.011,0.01,>10 - 100,19.89,18.23,-8.30%,538,,,
Rio Grande,873557,40801,Brazil,Phosphate,4/3/2017,Aguia Resources Limited,4347846,Iron Ore,TED-17-110,Feasibility Started,No,In Pit,Infill,942.064,AGR-ASX,0.378,0.346,>10 - 100,34.12,31.27,-8.40%,539,,,
Karankasso,896768,49877,Burkina Faso,Gold,5/5/2017,Sarama Resources Limited,4354029,Gold,HE-RC-17-085,Reserves Development,Yes,Surface,Exploration,"2,208.60",SWA-TVX,0.142,0.13,>10 - 100,18.27,16.74,-8.40%,540,,,
Wilson,916778,28498,Canada,Gold,6/8/2017,Cartier Resources Inc.,4348965,Gold,WL17-05,Target Outline,No,Surface,Extension,"1,049.30",ECR-TVX,0.259,0.237,>10 - 100,39.91,36.89,-8.40%,542,,,
Jervois,900557,27710,Australia,Copper,5/15/2017,KGL Resources Limited,4351571,Copper,KJCD205,Prefeas/Scoping,No,Surface,Extension,"1,191.75",KGL-ASX,0.285,0.26,>10 - 100,52.64,48.15,-8.50%,543,,,
Boorara,890875,30049,Australia,Gold,4/27/2017,MacPhersons Resources Limited,4351965,Gold,BODH029,Feasibility Started,Yes,Surface,Extension,"2,924.50",MRP-ASX,0.157,0.145,>10 - 100,49.77,45.94,-7.70%,521,,,
Tomingley,876638,35751,Australia,Gold,4/10/2017,Alkane Resources Limited,4347905,Gold,TO225D,Operating,No,Surface,Extension,465.75,ALK-ASX,0.203,0.187,>100,102.42,94.5,-7.70%,522,,,
Challenger,877612,29378,Australia,Gold,4/11/2017,WPG Resources Limited,4282806,Gold,17CUD2071,Operating,No,Underground,Extension,"8,446.13",WPG-ASX,0.044,0.04,>10 - 100,32.88,30.19,-8.20%,534,,,
Cerro Las Minitas,916358,38741,Mexico,Silver,6/12/2017,Southern Silver Exploration Corporation,4354471,Silver,17CLM-098,Reserves Development,Yes,Surface,Extension,"2,906.69",SSV-TVX,0.279,0.254,>10 - 100,24.34,23.77,-9.00%,550,,,
Bunawan,881685,34572,Philippines,Gold,4/18/2017,RTG Mining Inc.,4353654,Gold,BDH15,Exploration,No,Surface,Extension,769.203,RTG-TSX,0.124,0.113,>10 - 100,20.84,18.95,-9.00%,551,,,
Tiris,885637,37028,Mauritania,U3O8,4/19/2017,Aura Energy Limited,4348291,U3O8,10TSFAC038,Feasibility Started,No,Surface,Extension,64.622,AEE-ASX,0.022,0.02,>10 - 100,17.34,15.76,-9.10%,552,,,
Coolgardie,876509,25631,Australia,Gold,4/7/2017,Focus Minerals Limited,4350235,Gold,TND17018,Prefeas/Scoping,Yes,Surface,Extension,"1,548.15",FML-ASX,0.325,0.298,>10 - 100,59.34,54.47,-8.20%,535,,,
Woodlark Island,917594,29094,Papua New Guinea,Gold,6/15/2017,Geopacific Resources Limited,4350410,Gold,KU17RC038,Feasibility Complete,Yes,Surface,Extension,"6,770.50",GPR-ASX,0.026,0.023,>10 - 100,29.95,27.15,-9.30%,558,,,
Forrestania,891824,78241,Australia,Lithium,4/28/2017,Marindi Metals Limited,4348775,Lithium,GPRC32,Target Outline,No,Surface,Extension,50.035,MZN-ASX,0.008,0.007,>10 - 100,10.88,9.86,-9.40%,559,,,
El Cobre,875615,49876,Mexico,Copper,4/5/2017,Almadex Minerals Limited,4605234,Gold,EC-17-018,Target Outline,Yes,Surface,Exploration,"14,056.54",AMZ-TVX,0.909,0.823,>10 - 100,43.46,39.38,-9.40%,561,,,
Georgia Lake,895509,39374,Canada,Lithium,5/3/2017,Rock Tech Lithium Inc.,4353856,Lithium,PL-16-CH-2,Reserves Development,No,Surface,Exploration,797.58,RCK-TVX,0.655,0.593,>10 - 100,17.73,16.05,-9.50%,562,,,
Martiniere,877177,30724,Canada,Gold,4/10/2017,Balmoral Resources Ltd.,4348424,Gold,MDE-17-265,Target Outline,Yes,Surface,Extension,"3,543.51",BAR-TSX,0.582,0.527,>10 - 100,73.08,66.08,-9.60%,563,,,
Covas do Barroso,909437,78963,Portugal,Lithium,5/25/2017,Savannah Resources Plc,4356041,Lithium,NOA 3,Target Outline,Yes,Surface,Exploration,"5,845.00",SAV-AIMLSE,0.076,0.069,>10 - 100,39.11,36.7,-9.70%,564,,,
Clearwater,910917,29474,Canada,Gold,6/1/2017,Eastmain Resources Inc.,4349877,Gold,ER17-720,Prefeas/Scoping,No,Underground,Infill,"3,668.31",ER-TSX,0.3,0.271,>10 - 100,52.6,52.27,-9.70%,565,,,
Jaurdi,939688,78421,Australia,Gold,6/30/2017,Beacon Minerals Limited,4348499,Gold,JD17C213,Reserves Development,Yes,Surface,Extension,"2,284.76",BCN-ASX,0.016,0.014,>10 - 100,25.24,23.05,-8.70%,544,,,
Mt Alexander,903035,36132,Australia,Nickel,5/19/2017,St George Mining Limited,4354523,Nickel,MAD62,Target Outline,No,Surface,Extension,474.794,SGQ-ASX,0.1,0.09,>10 - 100,25.11,22.64,-9.80%,568,,,
Pahtavaara,885760,28700,Finland,Gold,4/20/2017,Rupert Resources Limited,4353936,Gold,117315,Operating,Yes,Surface,Extension,"5,679.11",RUP-TVX,0.967,0.871,>10 - 100,97.42,87.77,-9.90%,570,,,
El Cobre,906122,49876,Mexico,Copper,5/24/2017,Almadex Minerals Limited,4605234,Gold,EC17-020,Target Outline,Yes,Surface,Extension,"9,977.31",AMZ-TVX,0.883,0.794,>10 - 100,42.33,38.07,-10.00%,571,,,
Arabia,903046,41429,USA,Gold,5/19/2017,Renaissance Gold Inc.,4353736,Silver,AR-17-07,Target Outline,No,Surface,Exploration,67.719,REN-TVX,0.272,0.244,>10 - 100,11.07,11.86,-10.20%,572,,,
Seymour Lake,911767,32093,Canada,Lithium,6/5/2017,Ardiden Limited,4354600,Lithium,SL-17-06,Target Outline,Yes,Surface,Extension,"1,692.50",ADV-ASX,0.013,0.011,>10 - 100,10.36,9.73,-10.20%,576,,,
Piedmont,872075,78645,USA,Lithium,4/3/2017,WCP Resources Limited,4355295,Lithium,17-BD-21,Exploration,Yes,Surface,Extension,"2,716.60",PLL-ASX,0.076,0.068,>10 - 100,30.35,31.08,-10.30%,577,,,
La Esperanza,875609,34593,Mexico,Silver,4/5/2017,Canasil Resources Incorporated,4348898,Silver,ES-17-17,Target Outline,No,Surface,Extension,"1,200.07",CLZ-TVX,0.123,0.11,>10 - 100,12.52,11.24,-10.30%,578,,,
Barsele,874675,28075,Sweden,Gold,4/4/2017,Barsele Minerals Corp.,4428746,Gold,SKI17003,Reserves Development,No,Surface,Infill,"6,365.60",BME-TVX,0.777,0.697,>10 - 100,84.06,75.42,-10.30%,580,,,
Morck's Well,881590,53760,Australia,Copper,4/18/2017,Auris Minerals Limited,4353757,Titanium,CARC001,Target Outline,Yes,Surface,Exploration,"25,091.92",AUR-ASX,0.058,0.052,>10 - 100,18.32,16.43,-10.30%,581,,,
Grassy Mountain,921709,26860,USA,Gold,6/21/2017,Paramount Gold Nevada Corporation,4586891,Gold,GM17-19,Prefeas/Scoping,Yes,Underground,Extension,"26,296.18",PZG-US,1.55,1.39,>10 - 100,27.56,24.71,-10.30%,582,,,
Murchison,896970,26727,Australia,Gold,5/8/2017,Musgrave Minerals Limited,4352640,Gold,17MORC050,Operating,Yes,Surface,Extension,"10,535.28",MGV-ASX,0.063,0.057,>10 - 100,11.34,12.61,-8.90%,547,,,
Moore Lake,905486,34750,Canada,U3O8,5/23/2017,Skyharbour Resources Ltd.,4354326,U3O8,ML-202,Target Outline,Yes,Surface,Exploration,"22,023.96",SYH-TVX,0.332,0.298,>10 - 100,17.4,15.58,-10.40%,584,,,
Viking,902396,52061,Australia,Gold,5/18/2017,Genesis Minerals Limited,4350380,Gold,16VKAC044,Target Outline,Yes,Surface,Extension,"16,247.18",GMD-ASX,0.014,0.013,>10 - 100,10.4,9.47,-9.00%,548,,,
El Roble,899130,27721,Colombia,Copper,5/11/2017,Atico Mining Corporation,4348259,Gold,ATSA-005,Reserves Development,No,Surface,Exploration,518.006,ATY-TVX,0.564,0.503,>10 - 100,55.34,49.59,-10.70%,587,,,
Honeymoon,899099,34625,Australia,U3O8,5/12/2017,Boss Resources Limited,4348665,U3O8,BMR069,Prefeas/Scoping,No,Surface,Extension,152.445,BOE-ASX,0.041,0.036,>10 - 100,40.83,36.44,-10.70%,589,,,
Parkin,918508,31757,Canada,Copper,6/19/2017,Wallbridge Mining Company Limited,4355273,Nickel,WMP-212,Reserves Development,Yes,Surface,Extension,"1,975.37",WM-TSX,0.057,0.05,>10 - 100,13.65,12.15,-11.00%,591,,,
Lake Carey,878631,31867,Australia,Gold,4/12/2017,Matsa Resources Limited,4352116,Gold,17LCAC245,Prefeas/Scoping,No,Surface,Extension,"1,683.95",MAT-ASX,0.194,0.177,>10 - 100,28.13,25.56,-9.10%,553,,,
Jumbuck,887329,63743,Australia,Gold,4/26/2017,Tyranna Resources Limited,4351356,Gold,17TYRC004,Reserves Development,No,Surface,Exploration,"2,145.14",TYX-ASX,0.02,0.018,<10,7.85,7.12,-9.30%,557,,,
Bowdens,887589,29244,Australia,Silver,4/26/2017,Silver Mines Limited,4354254,Silver,BD17013,Feasibility Started,No,Surface,Infill,"6,844.19",SVL-ASX,0.113,0.1,>10 - 100,44.36,39.22,-11.60%,598,,,
Bald Hill,906815,32119,Australia,Tantalum,5/25/2017,Tawana Resources NL,4354759,Lithium,LRC0348,Feasibility Started,Yes,Surface,Extension,"9,953.63",TAW-ASX,0.194,0.171,>10 - 100,85.8,75.82,-11.60%,599,,,
Mt Alexander,899663,36132,Australia,Nickel,5/10/2017,St George Mining Limited,4354523,Nickel,MAD60,Target Outline,Yes,Surface,Extension,"5,464.27",SGQ-ASX,0.114,0.101,>10 - 100,28.57,25.2,-11.80%,601,,,
Bowdens,918115,29244,Australia,Silver,6/19/2017,Silver Mines Limited,4354254,Zinc,PLRC17002,Feasibility Started,No,Surface,Exploration,563.527,SVL-ASX,0.099,0.087,>10 - 100,38.74,34.18,-11.80%,603,,,
Tampia,916093,49958,Australia,Gold,6/13/2017,Explaurum Limited,4350040,Gold,THRC157,Prefeas/Scoping,Yes,Surface,Extension,"6,086.35",EXU-ASX,0.102,0.092,>10 - 100,35.41,31.97,-9.70%,566,,,
Makabingui,888255,36500,Senegal,Gold,4/26/2017,Bassari Resources Limited,4348479,Gold,RCS559,Feasibility Complete,No,Surface,Infill,"4,341.05",BSR-ASX,0.014,0.013,>10 - 100,27.09,24.05,-12.10%,609,,,
Barimaia,918238,79007,Australia,Gold,5/12/2017,Genesis Minerals Limited,4350380,Gold,BARC001,Target Outline,No,Surface,Exploration,3.36,GMD-ASX,0.014,0.013,>10 - 100,10.32,9.25,-10.30%,583,,,
Mt Alexander,875756,36132,Australia,Nickel,4/6/2017,St George Mining Limited,4354523,Nickel,MAD43,Target Outline,No,Surface,Exploration,605.157,SGQ-ASX,0.136,0.12,>10 - 100,34.16,29.93,-12.40%,612,,,
Georgia Lake,885783,39374,Canada,Lithium,4/20/2017,Rock Tech Lithium Inc.,4353856,Lithium,AM-16-CH-3,Reserves Development,No,Surface,Extension,"1,177.86",RCK-TVX,0.67,0.586,>10 - 100,18.11,15.84,-12.50%,614,,,
Pinargozu,887156,52503,Turkey,Zinc,4/25/2017,Pasinex Resources Limited,4353242,Zinc,OG16-010,Operating,Yes,Underground,Extension,"5,522.32",PSE-CNQ,0.193,0.168,>10 - 100,24.31,21.82,-12.60%,615,,,
Hodine,885579,60267,Egypt,Gold,4/19/2017,Stratex International Plc,4354598,Gold,TDAND-07,Reserves Development,Yes,Surface,Extension,"2,199.47",STI-AIMLSE,0.023,0.02,>10 - 100,10.74,9.38,-12.70%,616,,,
Tijirit,905523,29012,Mauritania,Gold,5/23/2017,Algold Resources Limited,4361599,Gold,T17RC084,Reserves Development,Yes,Surface,Extension,"2,709.99",ALG-TVX,0.166,0.145,>10 - 100,27.44,24.27,-12.70%,617,,,
Glor,918522,75720,Mexico,Gold,6/19/2017,Riverside Resources Inc.,4353835,Gold,GL17-002D,Target Outline,No,Surface,Exploration,275.055,RRI-TVX,0.302,0.264,>10 - 100,13.35,11.65,-12.70%,619,,,
Challenger,908246,29378,Australia,Gold,5/29/2017,WPG Resources Limited,4282806,Gold,17CUD2077,Operating,Yes,Underground,Extension,"13,827.95",WPG-ASX,0.041,0.037,>10 - 100,30.95,33.15,-10.60%,585,,,
Urban,877455,30789,Canada,Gold,4/10/2017,Beaufield Resources Inc.,4348507,Gold,BRL-17-10,Reserves Development,No,Surface,Infill,"1,320.08",BFD-TVX,0.224,0.194,>10 - 100,43.74,37.84,-13.50%,626,,,
Yarraloola,897433,40516,Australia,Iron Ore,5/9/2017,Coziron Resources Limited,4349564,Iron Ore,YAR203,Reserves Development,No,Surface,Extension,658.053,CZR-ASX,0.01,0.009,>10 - 100,18.12,15.65,-13.60%,628,,,
Gladiator,912244,38121,Canada,Gold,6/6/2017,Bonterra Resources Inc.,4348659,Gold,BA-17-11,Reserves Development,Yes,Surface,Extension,"1,934.43",BTR-TVX,0.363,0.313,>10 - 100,58.66,50.62,-13.70%,630,,,
Quinns,908841,26608,Australia,Gold,5/30/2017,Latitude Consolidated Limited,4351250,Gold,17LCRC019,Reserves Development,No,Surface,Extension,131.162,LCD-ASX,0.018,0.016,<10,2.34,2.09,-10.60%,586,,,
Indee,905611,30806,Australia,Gold,5/24/2017,De Grey Mining Limited,4349666,Gold,DG_RC_05.24.2017,Prefeas/Scoping,Yes,Surface,Extension,"1,720.34",DEG-ASX,0.04,0.035,<10,7.99,7.13,-10.80%,590,,,
Leonora,937846,28500,Australia,Gold,6/28/2017,Kin Mining NL,4361760,Gold,HE17RC086,Feasibility Started,Yes,Surface,Extension,"3,046.35",KIN-ASX,0.277,0.246,>10 - 100,44.8,39.74,-11.30%,593,,,
Yandal,874230,34262,Australia,Gold,4/4/2017,Echo Resources Limited,4349883,Gold,ORC006,Feasibility Complete,Yes,In Pit,Extension,"13,916.30",EAR-ASX,0.137,0.121,>10 - 100,50.67,44.85,-11.50%,596,,,
Bowdens,912651,29244,Australia,Silver,6/7/2017,Silver Mines Limited,4354254,Zinc,BD17017,Feasibility Started,Yes,Surface,Extension,"13,287.89",SVL-ASX,0.102,0.087,>10 - 100,39.68,34.12,-14.00%,637,,,
Mallee Bull,899068,28701,Australia,Copper,5/9/2017,Peel Mining Limited,4353270,Zinc,MBDD028,Prefeas/Scoping,Yes,Surface,Metallurgical,"13,528.80",PEX-ASX,0.17,0.145,>10 - 100,28.42,24.28,-14.60%,644,,,
Mavis,878461,37599,Canada,Lithium,4/11/2017,Pioneer Resources Limited,4353360,Lithium,MF17-49,Target Outline,Yes,Surface,Extension,"4,471.00",PIO-ASX,0.015,0.013,>10 - 100,15.57,13.29,-14.60%,647,,,
Clayton Northeast,874009,77443,USA,Lithium,4/3/2017,Advantage Lithium Corp.,4773008,Lithium,CNE-17-04,Target Outline,Yes,Surface,Extension,"2,295.11",AAL-TVX,0.442,0.377,>10 - 100,59.42,50.67,-14.70%,649,,,
El Cobre,877578,49876,Mexico,Copper,4/10/2017,Almadex Minerals Limited,4605234,Gold,Channel 7,Target Outline,No,Surface,Extension,954.422,AMZ-TVX,0.971,0.826,>10 - 100,46.42,39.53,-14.90%,654,,,
Goldstrike,913186,25278,USA,Gold,6/7/2017,Liberty Gold Corp.,4303923,Gold,PGS235,Target Outline,Yes,Surface,Extension,"1,808.99",LGD-TSX,0.356,0.303,>10 - 100,53.63,45.64,-14.90%,655,,,
Deflector,916582,28512,Australia,Gold,6/14/2017,Doray Minerals Limited,4349786,Gold,DEDD033,Operating,Yes,Surface,Extension,"4,493.58",DRM-ASX,0.264,0.232,>10 - 100,94.23,82.84,-12.10%,608,,,
