propertyName,intervalIdent,countryName,holeID,reportDate,reportingComp,stage,significantInterval,surfaceUnder,purpose,exchg,date1,date20,marketCapRange,marketCap1,marketCap20,within21,Rank,gainPercent,change
Red Rabbit,802540,Turkey,KTP­RC49­-16,1/24/2017,Ariana Resources Plc,Construction Started,No,Surface,Extension,AAU-AIMLSE,0.02,0.02,>10 - 100,20.24,21.33,FALSE,261,5,increase
Guiro,867723,Burkina Faso,201709151,3/29/2017,Komet Resources Inc.,Operating,No,Surface,Extension,KMT-TVX,0.3,0.31,>10 - 100,19.79,20.8,FALSE,262,5,increase
Anza,799110,Colombia,MAP-48,1/19/2017,Orosur Mining Inc.,Target Outline,Yes,Surface,Extension,OMI-TSX,0.2,0.21,>10 - 100,19.86,21.06,FALSE,263,5,increase
Katanning,862145,Australia,BSRC0748,3/23/2017,Ausgold Limited,Prefeas/Scoping,No,Surface,Extension,AUC-ASX,0.02,0.02,<10,7.26,7.35,FALSE,316,1,increase
Wawa,811701,Canada,SD-16-44,2/7/2017,Red Pine Exploration Inc.,Reserves Development,Yes,Surface,Extension,RPX-TVX,0.11,0.11,>10 - 100,22.28,28.54,FALSE,271,3,increase
Woodlark Island,802762,Papua New Guinea,BS16DD001,1/25/2017,Geopacific Resources Limited,Feasibility Complete,No,Surface,Exploration,GPR-ASX,0.03,0.03,>10 - 100,33.32,34.51,FALSE,277,3,increase
Croinor,865054,Canada,CR-17-524,3/27/2017,Monarques Gold Corporation,Prefeas/Scoping,No,Surface,Extension,MQR-TVX,0.28,0.29,>10 - 100,40.28,41.95,FALSE,278,3,increase
Binduli North,798018,Australia,TRC1687,1/18/2017,Intermin Resources Limited,Preproduction,Yes,Surface,Extension,IRC-ASX,0.09,0.09,>10 - 100,17.1,17.4,FALSE,318,1,increase
Kilgore,799576,USA,16 OKC-353,1/19/2017,Otis Gold Corporation,Reserves Development,Yes,Surface,Extension,OOO-TVX,0.21,0.22,>10 - 100,27.91,28.72,FALSE,282,2,increase
Cheechoo,851713,Canada,CH-17-95,3/6/2017,Sirios Resources Inc.,Target Outline,Yes,Surface,Exploration,SOI-TVX,0.31,0.32,>10 - 100,35.31,36.24,FALSE,284,2,increase
Burro Creek,793128,USA,ZM_CS_1.13.2017,1/13/2017,Zenith Minerals Limited,Reserves Development,No,Surface,Exploration,ZNC-ASX,0.08,0.08,>10 - 100,13.7,14.04,FALSE,288,2,increase
Goldstrike,807686,USA,PGS170,2/1/2017,Pilot Gold Inc.,Target Outline,No,Surface,Exploration,LGD-TSX,0.45,0.46,>10 - 100,66.81,68.41,FALSE,290,2,increase
Binduli North,807225,Australia,PFRC16121,2/1/2017,Intermin Resources Limited,Preproduction,Yes,Surface,Exploration,IRC-ASX,0.08,0.08,>10 - 100,15.76,15.97,FALSE,324,0,same
Sanbrado,868285,Burkina Faso,TAN17-DD102,3/30/2017,West African Resources Limited,Feasibility Complete,Yes,Underground,Extension,WAF-ASX,0.18,0.19,>10 - 100,88.93,90.82,FALSE,294,2,increase
Pahtavaara,798071,Finland,116051,1/18/2017,Rupert Resources Limited,Operating,No,Underground,Exploration,RUP-TVX,0.82,0.84,>10 - 100,81.11,82.82,FALSE,296,2,increase
Willbob,797876,Canada,ME_CS1_1-18-2017,1/18/2017,Midland Exploration Inc.,Target Outline,No,Surface,Extension,MD-TVX,0.82,0.84,>10 - 100,46.31,47.28,FALSE,296,2,increase
Maude Lake,811863,Canada,RJK17-04,2/7/2017,Globex Mining Enterprises Inc.,Reserves Development,Yes,Surface,Definition,GMX-TSX,0.43,0.44,>10 - 100,21.19,21.62,FALSE,298,2,increase
Mt Coolon,849194,Australia,GLD0001,3/1/2017,GBM Resources Limited,Prefeas/Scoping,No,Surface,Infill,GBZ-ASX,0.01,0.01,<10,9.39,9.42,FALSE,340,0,same
Bachelor Lake,793100,Canada,14-170,1/12/2017,Metanor Resources Inc.,Operating,Yes,Underground,Extension,MTO-TVX,0.45,0.46,>10 - 100,19.84,20.13,FALSE,309,1,increase
Lupa,853284,Tanzania,SGR090,3/8/2017,Shanta Gold Limited,Exploration,Yes,Surface,Exploration,SHG-AIMLSE,0.11,0.11,>10 - 100,64.83,65.76,FALSE,311,1,increase
Clavo Rico,789167,Honduras,CMCS-12,1/9/2017,"Inception Mining, Inc.",Operating,Yes,In Pit,Exploration,IMII-US,0.5,0.51,>10 - 100,25.51,25.87,FALSE,315,1,increase
Spargoville,849537,Australia,MXLWRC003,3/1/2017,Maximus Resources Limited,Reserves Development,No,Surface,Extension,MXR-ASX,0,0,<10,5.63,5.65,FALSE,341,0,same
Leonora,813013,Australia,KY17RC010,2/9/2017,Kin Mining NL,Feasibility Started,Yes,Surface,Extension,KIN-ASX,0.16,0.16,>10 - 100,18.82,19.44,FALSE,349,0,same
Pardo,866977,Canada,PD-17-13,3/28/2017,Inventus Mining Corp.,Target Outline,No,Surface,Extension,IVS-TVX,0.15,0.15,>10 - 100,15,15.12,FALSE,331,0,same
Croinor,799292,Canada,CR-16-512,1/19/2017,Monarques Gold Corporation,Prefeas/Scoping,Yes,Surface,Exploration,MQR-TVX,0.34,0.34,>10 - 100,44.3,44.51,FALSE,335,0,same
North Bullfrog,858730,USA,NB-17-332,3/14/2017,Corvus Gold Inc.,Prefeas/Scoping,Yes,Surface,Extension,KOR-TSX,0.63,0.63,>10 - 100,58.37,58.62,FALSE,336,0,same
Aucu,853015,Kyrgyzstan,ERC16-33,3/7/2017,White Cliff Minerals Limited,Reserves Development,No,Surface,Extension,WCN-ASX,0.01,0.01,>10 - 100,11.42,11.46,FALSE,338,0,same
Arakaka,851595,Guyana,XETR007,3/7/2017,Alicanto Minerals Limited,Target Outline,Yes,Surface,Exploration,AQI-ASX,0.14,0.14,>10 - 100,12.21,12.34,FALSE,337,0,same
Orenada,850247,Canada,OAX-17-084,3/2/2017,Alexandria Minerals Corporation,Prefeas/Scoping,Yes,In Pit,Extension,AZX-TVX,0.04,0.04,>10 - 100,17.94,17.94,FALSE,362,0,same
Clearwater,772736,Canada,ER16-608,1/4/2017,Eastmain Resources Inc.,Prefeas/Scoping,No,In Pit,Infill,ER-TSX,0.38,0.38,>10 - 100,66.7,66.64,FALSE,363,0,same
Castelo de Sonhos,810580,Brazil,CSH-16-152,2/3/2017,"TriStar Gold, Inc.",Reserves Development,No,Surface,Extension,TSG-TVX,0.2,0.2,>10 - 100,28.15,27.98,FALSE,368,0,same
Wawa,799128,Canada,U1650L5,1/19/2017,Red Pine Exploration Inc.,Reserves Development,Yes,Surface,Extension,RPX-TVX,0.1,0.1,>10 - 100,10.77,20.64,FALSE,371,0,same
Pahtavaara,849690,Finland,116231,3/1/2017,Rupert Resources Limited,Operating,Yes,In Pit,Extension,RUP-TVX,0.98,0.98,>10 - 100,99.15,98.3,FALSE,380,0,same
Clearwater,868374,Canada,ER17-695,3/29/2017,Eastmain Resources Inc.,Prefeas/Scoping,No,Surface,Infill,ER-TSX,0.36,0.36,>10 - 100,62.93,62.33,FALSE,382,0,same
Valentine Lake,854873,Canada,MA-17-165,3/13/2017,Marathon Gold Corporation,Reserves Development,Yes,Surface,Extension,MOZ-TSX,0.76,0.75,>10 - 100,89.4,89.76,FALSE,384,0,same
Moussala,865221,Mali,Km2016rc06,3/27/2017,Komet Resources Inc.,Target Outline,Yes,Surface,Exploration,KMT-TVX,0.31,0.31,>10 - 100,20.79,20.46,FALSE,394,-1,decrease
Valentine Lake,825106,Canada,MA-17-160,2/13/2017,Marathon Gold Corporation,Reserves Development,No,Surface,Infill,MOZ-TSX,0.84,0.83,>10 - 100,99.35,97.75,FALSE,395,-1,decrease
Dandoko,843917,Mali,RCDK016-059,2/20/2017,Oklo Resources Limited,Target Outline,Yes,Surface,Extension,OKU-ASX,0.15,0.15,>10 - 100,37.01,36.41,FALSE,396,-1,decrease
Gold Springs,850201,USA,E-16-008,3/2/2017,TriMetals Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,TMI-TSX,0.21,0.21,>10 - 100,52.04,51.87,FALSE,399,-1,decrease
Clearwater,851646,Canada,ER17-674,3/6/2017,Eastmain Resources Inc.,Prefeas/Scoping,No,Surface,Infill,ER-TSX,0.36,0.35,>10 - 100,62.81,61.66,FALSE,400,-1,decrease
South Yamarna,844445,Australia,16SYRC0091,2/21/2017,Gold Road Resources Limited,Target Outline,No,Surface,Extension,GOR-ASX,0.43,0.43,>100,374.72,373.14,FALSE,366,0,same
Dalgaranga,854937,Australia,DGRC297,3/14/2017,Gascoyne Resources Limited,Feasibility Complete,Yes,Surface,Extension,GCY-ASX,0.39,0.39,>100,146,146.16,FALSE,375,0,same
Mayfield,835394,Australia,42857,2/15/2017,Capital Mining Limited,Reserves Development,No,Surface,Extension,CMY-ASX,0.01,0.01,<10,2.74,2.71,FALSE,377,0,same
Hera,844382,Australia,HRUD409,2/21/2017,Aurelia Metals Limited,Expansion,Yes,Underground,Extension,AMI-ASX,0.17,0.17,>10 - 100,73.97,73.49,FALSE,390,-1,decrease
Bachelor Lake,847292,Canada,E16-120,2/23/2017,Metanor Resources Inc.,Operating,Yes,Underground,Extension,MTO-TVX,0.49,0.48,>10 - 100,21.63,21.2,FALSE,408,-1,decrease
Laverton,805136,Australia,KARC224,1/25/2017,Focus Minerals Limited,Reserves Development,Yes,Surface,Extension,FML-ASX,0.4,0.39,>10 - 100,73.49,72.05,FALSE,404,-1,decrease
Rompas,851715,Finland,PAL0033,3/6/2017,Mawson Resources Limited,Target Outline,No,Surface,Extension,MAW-TSX,0.31,0.3,>10 - 100,32.6,31.89,FALSE,410,-2,decrease
Coolgardie,805178,Australia,TND16099,1/25/2017,Focus Minerals Limited,Reserves Development,No,Surface,Infill,FML-ASX,0.4,0.39,>10 - 100,73.49,72.05,FALSE,404,-1,decrease
Leonora,852287,Australia,EL17RC003,3/8/2017,Kin Mining NL,Feasibility Started,Yes,Surface,Extension,KIN-ASX,0.15,0.15,>10 - 100,17.94,17.59,FALSE,406,-1,decrease
Commonwealth,808926,USA,17CDDH10,2/2/2017,Marlin Gold Mining Ltd.,Prefeas/Scoping,No,Surface,Metallurgical,MLN-TVX,0.46,0.45,>10 - 100,79.32,77.38,FALSE,422,-2,decrease
Toroparu,825195,Guyana,SOD090,2/13/2017,Sandspring Resources Limited,Feasibility Started,Yes,Surface,Infill,SSP-TVX,0.4,0.39,>10 - 100,45.37,44.24,FALSE,423,-2,decrease
Orivesi,849943,Finland,KU-1564,3/1/2017,Dragon Mining Limited,Operating,Yes,Surface,Extension,DRA-ASX,0.26,0.25,>10 - 100,23.23,22.62,FALSE,425,-2,decrease
Adyabo,865043,Ethiopia,WMD064,3/27/2017,East Africa Metals Inc.,Reserves Development,No,Surface,Infill,EAM-TVX,0.22,0.21,>10 - 100,30.36,29.53,FALSE,426,-2,decrease
Harvest,865023,Ethiopia,HD011,3/27/2017,East Africa Metals Inc.,Reserves Development,Yes,Surface,Exploration,EAM-TVX,0.22,0.21,>10 - 100,30.36,29.53,FALSE,426,-2,decrease
Linden,810727,Australia,EXRC098,2/6/2017,Exterra Resources Limited,Construction Started,No,Surface,Exploration,EXC-ASX,0.04,0.04,>10 - 100,13.44,13.17,FALSE,407,-1,decrease
Boorara,796715,Australia,BORC164,1/18/2017,MacPhersons Resources Limited,Feasibility Started,Yes,Surface,Extension,MRP-ASX,0.07,0.07,>10 - 100,22.25,21.78,FALSE,409,-2,decrease
Krasny,870536,Russia,141808,3/29/2017,Kopy Goldfields AB,Prefeas/Scoping,No,Surface,Extension,KOPY-OME,0.16,0.15,>10 - 100,12.55,12.17,FALSE,435,-3,decrease
Pardo,849929,Canada,PD-17-04,3/1/2017,Inventus Mining Corp.,Target Outline,Yes,Surface,Extension,IVS-TVX,0.14,0.14,>10 - 100,14.43,13.93,FALSE,441,-3,decrease
Woodlark Island,846293,Papua New Guinea,10WBSD004,2/23/2017,Geopacific Resources Limited,Feasibility Complete,Yes,Surface,Extension,GPR-ASX,0.03,0.03,>10 - 100,34.63,33.34,FALSE,445,-3,decrease
Clearwater,811785,Canada,ER16-662,2/7/2017,Eastmain Resources Inc.,Prefeas/Scoping,No,Underground,Infill,ER-TSX,0.38,0.37,>10 - 100,66.78,64.29,FALSE,446,-3,decrease
Cheechoo,811844,Canada,CH-16-93,2/7/2017,Sirios Resources Inc.,Target Outline,Yes,Surface,Extension,SOI-TVX,0.35,0.33,>10 - 100,38.51,37.43,FALSE,451,-4,decrease
Wilcherry Hill,808577,Australia,12WDGC089,2/2/2017,Tyranna Resources Limited,Feasibility,Yes,Surface,Exploration,TYX-ASX,0.02,0.02,<10,8.14,7.96,FALSE,411,-2,decrease
May Mac,847156,Canada,MU17-08,2/23/2017,Golden Dawn Minerals Inc.,Target Outline,No,Underground,Extension,GOM-TVX,0.28,0.27,>10 - 100,27.97,27.19,FALSE,456,-4,decrease
Yamarna,811610,Australia,YARC065,2/7/2017,Montezuma Mining Company Limited,Target Outline,No,Surface,Extension,MZM-ASX,0.13,0.13,>10 - 100,11.15,10.91,FALSE,413,-2,decrease
Altan Nar,791036,Mongolia,BKD-90,1/10/2017,Erdene Resource Development Corporation,Reserves Development,Yes,Surface,Extension,ERD-TSX,0.65,0.62,>10 - 100,82.53,78.5,FALSE,463,-4,decrease
Chimo,797883,Canada,CH16-02,1/18/2017,Cartier Resources Inc.,Reserves Development,No,Underground,Extension,ECR-TVX,0.18,0.17,>10 - 100,19.83,18.84,FALSE,465,-5,decrease
Croinor,809280,Canada,CR-16-521,2/2/2017,Monarques Gold Corporation,Prefeas/Scoping,Yes,Surface,Exploration,MQR-TVX,0.35,0.33,>10 - 100,45.8,44.9,FALSE,468,-5,decrease
Krasny,814589,Russia,141750,2/9/2017,Kopy Goldfields AB,Prefeas/Scoping,Yes,Surface,Extension,KOPY-OME,0.18,0.17,>10 - 100,14.72,13.95,FALSE,472,-5,decrease
Orenada,851689,Canada,OAX-17-090,3/6/2017,Alexandria Minerals Corporation,Prefeas/Scoping,Yes,Surface,Extension,AZX-TVX,0.04,0.04,>10 - 100,17.86,16.93,FALSE,473,-5,decrease
Tetlin,861031,USA,TET17313,3/20/2017,"Contango ORE, Inc.",Reserves Development,Yes,Surface,Extension,CTGO-US,19,17.99,>10 - 100,93.17,88.22,FALSE,474,-5,decrease
Hasbrouck,860423,USA,HoG17-001,3/16/2017,West Kirkland Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,WKM-TVX,0.06,0.06,>10 - 100,20.6,19.44,FALSE,481,-5,decrease
Francoeur,805268,Canada,FS-16-35,1/25/2017,Globex Mining Enterprises Inc.,Exploration,Yes,Surface,Exploration,GMX-TSX,0.45,0.42,>10 - 100,21.88,20.54,FALSE,485,-6,decrease
Makabingui,867487,Senegal,RCS540,3/29/2017,Bassari Resources Limited,Feasibility Complete,Yes,In Pit,Extension,BSR-ASX,0.02,0.01,>10 - 100,27.83,27,FALSE,486,-6,decrease
Karlawinda,794897,Australia,KBRC719,1/16/2017,Capricorn Metals Ltd,Feasibility Started,No,In Pit,Infill,CMM-ASX,0.08,0.08,>10 - 100,38.3,37.44,FALSE,414,-2,decrease
Commonwealth,806458,USA,16CDDH01,1/30/2017,Marlin Gold Mining Ltd.,Prefeas/Scoping,No,Surface,Metallurgical,MLN-TVX,0.47,0.44,>10 - 100,81.69,76.51,FALSE,488,-6,decrease
O'Brien,849901,Canada,OB-16-19,3/1/2017,Radisson Mining Resources Inc.,Prefeas/Scoping,No,Surface,Extension,RDS-TVX,0.12,0.11,>10 - 100,12.92,12.01,FALSE,495,-7,decrease
Spargoville,839303,Australia,MXENRC035,2/17/2017,Maximus Resources Limited,Reserves Development,No,Surface,Infill,MXR-ASX,0,0,<10,3.76,3.67,FALSE,416,-2,decrease
Granada,797749,Canada,GR-16-14,1/18/2017,Granada Gold Mine Inc.,Prefeas/Scoping,Yes,Surface,Extension,GGM-TVX,0.06,0.05,>10 - 100,23.02,20.64,FALSE,500,-7,decrease
Borosi,863809,Nicaragua,HU16-031,3/23/2017,Calibre Mining Corporation,Reserves Development,Yes,Surface,Exploration,CXB-TVX,0.19,0.17,>10 - 100,57.79,54.2,FALSE,502,-7,decrease
Pinnacles,811460,Australia,NMPDD8,2/7/2017,Saracen Mineral Holdings Limited,Reserves Development,Yes,Surface,Extension,SAR-ASX,0.9,0.88,>100,730.72,713.77,FALSE,418,-2,decrease
May Mac,851386,Canada,MU17-10,3/6/2017,Golden Dawn Minerals Inc.,Target Outline,No,Underground,Extension,GOM-TVX,0.28,0.26,>10 - 100,28.8,26.64,FALSE,507,-7,decrease
Relief Canyon,789968,USA,RC16-490,1/9/2017,Pershing Gold Corporation,Prefeas/Scoping,No,In Pit,Extension,PGLC-US,3.35,3.08,>10 - 100,95.1,87.44,FALSE,514,-8,decrease
Halls Creek,859314,Australia,WNRC1109,3/16/2017,Pantoro Limited,Expansion,Yes,Surface,Extension,PNR-ASX,0.14,0.14,>100,104.71,101.72,FALSE,429,-2,decrease
Sandstone,835350,Australia,AHMAC010,2/15/2017,Alto Metals Limited,Target Outline,Yes,Surface,Exploration,AME-ASX,0.07,0.07,>10 - 100,10.7,10.38,FALSE,431,-2,decrease
Tampia,798652,Australia,THRC107,1/19/2017,Explaurum Limited,Prefeas/Scoping,No,Surface,Extension,EXU-ASX,0.05,0.05,>10 - 100,18.95,18.38,FALSE,433,-3,decrease
Davyhurst,802641,Australia,RVDD16042,1/25/2017,Eastern Goldfields Limited,Feasibility Started,No,Surface,Extension,EGS-ASX,0.29,0.28,>100,144.05,139.69,FALSE,434,-3,decrease
Douay West,846973,Canada,16-149,2/22/2017,Aurvista Gold Corporation,Prefeas/Scoping,Yes,Surface,Extension,AVA-TVX,0.28,0.25,>10 - 100,36.4,33.85,FALSE,533,-9,decrease
Warrentinna,807110,Australia,WTR038,1/31/2017,Greatland Gold Plc,Target Outline,No,Surface,Exploration,GGP-AIMLSE,0,0,<10,6.33,6.76,FALSE,443,-3,decrease
Mt Morgans,800259,Australia,16JUAC0568,1/23/2017,Dacian Gold Limited,Construction Started,No,Surface,Extension,DCN-ASX,1.91,1.84,>100,288.31,277.24,FALSE,448,-3,decrease
Martiniere,809197,Canada,MDE-16-256,2/2/2017,Balmoral Resources Ltd.,Target Outline,Yes,Surface,Extension,BAR-TSX,0.69,0.62,>10 - 100,86.35,78.04,FALSE,546,-9,decrease
Ulysses,802799,Australia,16USAC273,1/25/2017,Genesis Minerals Limited,Limited Production,No,Surface,Extension,GMD-ASX,0.02,0.01,>10 - 100,11.19,10.72,FALSE,453,-4,decrease
Kainantu,813896,Papua New Guinea,K92RC_08010,2/9/2017,K92 Mining Inc.,Operating,No,Surface,Exploration,KNT-TVX,0.82,0.73,>10 - 100,97.96,87.72,FALSE,561,-10,decrease
Karankasso,851005,Burkina Faso,HE-RC-17-019,3/3/2017,Savary Gold Corp.,Reserves Development,Yes,Surface,Extension,SCA-TVX,0.07,0.06,>10 - 100,12.21,10.9,FALSE,566,-10,decrease
Wawa,850805,Canada,DG-17-56,3/3/2017,Red Pine Exploration Inc.,Reserves Development,Yes,Surface,Extension,RPX-TVX,0.1,0.09,>10 - 100,26,23.2,FALSE,567,-10,decrease
O'Brien,835037,Canada,OB16-12,2/14/2017,Radisson Mining Resources Inc.,Prefeas/Scoping,Yes,Surface,Extension,RDS-TVX,0.13,0.12,>10 - 100,14.27,12.73,FALSE,568,-10,decrease
Leonora,810938,Australia,MT17RC038,2/6/2017,Kin Mining NL,Feasibility Started,Yes,Surface,Extension,KIN-ASX,0.16,0.15,>10 - 100,18.47,17.57,FALSE,461,-4,decrease
Makabingui,805666,Senegal,RCM103,1/27/2017,Bassari Resources Limited,Feasibility Complete,Yes,Surface,Extension,BSR-ASX,0.02,0.02,>10 - 100,44.06,39.27,FALSE,571,-10,decrease
Babonga,847841,Burkina Faso,BABAC011,2/27/2017,Golden Rim Resources Limited,Target Outline,No,Surface,Discovery,GMR-ASX,0.01,0.01,>10 - 100,12.36,11,FALSE,574,-11,decrease
Claudia,843478,Argentina,MR_02_02.17.2017,2/17/2017,Mirasol Resources Ltd.,Target Outline,No,Surface,Exploration,MRZ-TVX,1.51,1.34,>10 - 100,73.81,65.45,FALSE,575,-11,decrease
Tuvatu,835920,Fiji,TUDDH 419,2/14/2017,Lion One Metals Limited,Prefeas/Scoping,No,Surface,Infill,LIO-TVX,0.68,0.6,>10 - 100,69.15,61.49,FALSE,576,-11,decrease
Dalgaranga,802734,Australia,DGRC276,1/25/2017,Gascoyne Resources Limited,Feasibility Complete,Yes,Surface,Extension,GCY-ASX,0.47,0.45,>100,121.47,119.65,FALSE,479,-5,decrease
Zuleika,851685,Australia,ZRB504,3/7/2017,Torian Resources Limited,Target Outline,No,Surface,Exploration,TNR-ASX,0.11,0.11,>10 - 100,11.21,10.5,FALSE,487,-6,decrease
Moyagee,863856,Australia,17MORC003,3/27/2017,Silver Lake Resources Limited,Reserves Development,No,Surface,Extension,SLR-ASX,0.45,0.42,>100,226.46,212.04,FALSE,489,-6,decrease
North Bullfrog,847348,USA,NB-17-329,2/23/2017,Corvus Gold Inc.,Prefeas/Scoping,Yes,Surface,Extension,KOR-TSX,0.71,0.62,>10 - 100,65.15,56.98,FALSE,604,-12,decrease
Overflow,867454,Australia,OFDD-001,3/29/2017,Alchemy Resources Limited,Target Outline,Yes,Surface,Exploration,ALY-ASX,0.01,0.01,<10,3.35,3.13,FALSE,491,-6,decrease
Katanning,825326,Australia,BSRC0742,2/14/2017,Ausgold Limited,Prefeas/Scoping,No,Surface,Extension,AUC-ASX,0.02,0.02,<10,8.57,7.98,FALSE,492,-6,decrease
Ives Find,845330,Australia,IFRC005,2/22/2017,Great Western Exploration Limited,Target Outline,Yes,Surface,Extension,GTE-ASX,0.01,0.01,<10,7.06,6.56,FALSE,493,-7,decrease
Makabingui,803250,Senegal,RCM084,1/25/2017,Bassari Resources Limited,Feasibility Complete,Yes,Surface,Extension,BSR-ASX,0.02,0.02,>10 - 100,40.09,34.87,FALSE,614,-13,decrease
Moyagee,860426,Australia,17MORC002,3/17/2017,Musgrave Minerals Limited,Reserves Development,Yes,Surface,Extension,MGV-ASX,0.07,0.06,>10 - 100,12.16,11.29,FALSE,497,-7,decrease
Redcliffe,868866,Australia,GTRC410,3/31/2017,NTM Gold Limited,Feasibility Started,Yes,Surface,Extension,NTM-ASX,0.05,0.05,>10 - 100,13.4,12.51,FALSE,503,-7,decrease
Orenada,797838,Canada,OAX-16-080,1/18/2017,Alexandria Minerals Corporation,Prefeas/Scoping,No,Surface,Extension,AZX-TVX,0.06,0.05,>10 - 100,24.99,21.51,FALSE,624,-13,decrease
CAA/Portalegre,795971,Portugal,SMD009,1/17/2017,W Resources Plc,Reserves Development,Yes,Surface,Extension,WRES-AIMLSE,0.01,0,>10 - 100,25.25,21.7,FALSE,627,-14,decrease
Kaapelinkulma,864321,Finland,VK/KKU-RC69,3/27/2017,Dragon Mining Limited,Prefeas/Scoping,Yes,In Pit,Extension,DRA-ASX,0.22,0.19,>10 - 100,19.63,16.85,FALSE,631,-14,decrease
Aurora Tank,807295,Australia,16AT126,2/1/2017,Marmota Limited,Target Outline,Yes,Surface,Extension,MEU-ASX,0.02,0.02,<10,8.24,8.72,FALSE,504,-7,decrease
Orenada,807724,Canada,OAX-17-084,2/1/2017,Alexandria Minerals Corporation,Prefeas/Scoping,Yes,Surface,Extension,AZX-TVX,0.05,0.05,>10 - 100,23.41,19.86,FALSE,643,-15,decrease
Mt Morgans,811575,Australia,16CWAC0155,2/7/2017,Dacian Gold Limited,Construction Started,No,Surface,Extension,DCN-ASX,1.71,1.58,>100,256.92,303.14,FALSE,506,-7,decrease
Mineral Ridge,810696,USA,MR162107,2/3/2017,Scorpio Gold Corporation,Operating,Yes,In Pit,Extension,SGN-TVX,0.1,0.08,>10 - 100,12.47,10.49,FALSE,647,-15,decrease
Mexican Hat,807851,USA,GMV 2016-14,2/1/2017,GMV Minerals Inc.,Reserves Development,No,Surface,Extension,GMV-TVX,0.45,0.38,>10 - 100,14.66,12.3,FALSE,649,-16,decrease
Goldstrike,812467,USA,PGS179,2/8/2017,Pilot Gold Inc.,Target Outline,Yes,Surface,Extension,LGD-TSX,0.48,0.4,>10 - 100,71.81,60.17,FALSE,650,-16,decrease
Madsen,848871,Canada,PG17-304,2/28/2017,Pure Gold Mining Inc.,Prefeas/Scoping,Yes,Underground,Extension,PGM-TVX,0.46,0.38,>10 - 100,87.15,73.13,FALSE,653,-16,decrease
La Plata,850296,Ecuador,CMLP-17-38,3/1/2017,Toachi Mining Inc.,Prefeas/Scoping,Yes,Surface,Extension,TIM-TVX,0.42,0.35,>10 - 100,21.61,18.22,FALSE,655,-16,decrease
Unga,799967,USA,16SH022,1/19/2017,Redstar Gold Corporation,Reserves Development,No,Surface,Extension,RGC-TVX,0.11,0.09,>10 - 100,34.05,28.19,FALSE,665,-17,decrease
Kalana,825095,Mali,KO-SOM-RC216,2/13/2017,Avnel Gold Mining Limited,Limited Production,No,In Pit,Infill,AVK-TSX,0.24,0.2,>10 - 100,90.39,74.15,FALSE,676,-17,decrease
Glor,861078,Mexico,Tr-01,3/21/2017,Riverside Resources Inc.,Target Outline,Yes,Surface,Exploration,RRI-TVX,0.4,0.33,>10 - 100,17.72,14.43,FALSE,681,-18,decrease
Wawa,790279,Canada,U0722L5,1/10/2017,Red Pine Exploration Inc.,Reserves Development,Yes,Surface,Extension,RPX-TVX,0.12,0.1,>10 - 100,12.71,10.35,FALSE,682,-18,decrease
Kainantu,848534,Papua New Guinea,GCDD0023,2/27/2017,K92 Mining Inc.,Operating,Yes,Surface,Extension,KNT-TVX,0.76,0.61,>10 - 100,90.24,73.29,FALSE,684,-18,decrease
Wawa,848840,Canada,SD-16-45,2/28/2017,Red Pine Exploration Inc.,Reserves Development,Yes,Surface,Extension,RPX-TVX,0.11,0.09,>10 - 100,28.54,23.16,FALSE,685,-18,decrease
Clarence Stream,866872,Canada,AD17-96,3/28/2017,Galway Metals Inc.,Reserves Development,Yes,Surface,Extension,GWM-TVX,0.3,0.24,>10 - 100,17.46,14.87,FALSE,689,-19,decrease
Dandoko,874300,Mali,ACSEK17-018,3/30/2017,Oklo Resources Limited,Target Outline,Yes,Surface,Exploration,OKU-ASX,0.23,0.19,>10 - 100,56.37,45.3,FALSE,694,-19,decrease
Golden Highway,851737,Canada,MGH16-015,3/6/2017,Moneta Porcupine Mines Inc.,Prefeas/Scoping,Yes,Surface,Extension,ME-TSX,0.17,0.13,>10 - 100,40.1,32.16,FALSE,696,-19,decrease
Martiniere,835948,Canada,MDE-16-253A,2/15/2017,Balmoral Resources Ltd.,Target Outline,Yes,Surface,Exploration,BAR-TSX,0.71,0.57,>10 - 100,89.27,71.1,FALSE,698,-20,decrease
Giro,794246,Dem. Rep. Congo,GRRC189,1/16/2017,Amani Gold Limited,Target Outline,No,Surface,Infill,ANL-ASX,0.04,0.03,>10 - 100,45.22,35.77,FALSE,699,-20,decrease
Mexican Hat,844602,USA,GMV 2016-8,2/21/2017,GMV Minerals Inc.,Reserves Development,No,Surface,Extension,GMV-TVX,0.37,0.29,>10 - 100,11.97,9.39,FALSE,702,-21,decrease
Costerfield,806164,Australia,BD265,1/27/2017,Mandalay Resources Corporation,Operating,Yes,Surface,Extension,MND-TSX,0.66,0.61,>100,299.63,276.29,FALSE,510,-7,decrease
Leonora,845044,Australia,RN17RC025,2/22/2017,Kin Mining NL,Feasibility Started,Yes,Surface,Extension,KIN-ASX,0.16,0.15,>10 - 100,18.86,17.9,FALSE,515,-8,decrease
Rompas,844636,Finland,PAL0030,2/21/2017,Mawson Resources Limited,Target Outline,Yes,Surface,Extension,MAW-TSX,0.42,0.32,>10 - 100,44.18,33.66,FALSE,713,-23,decrease
